"Brand","Sodium","Fiber","Carbohydrates","Sugar","Potassium","healthyindex"
"ACCheerios",180,1.5,10.5,10,70,25.7
"Cheerios",290,2,17,1,105,3.6
"CocoaPuffs",180,0,12,13,55,31
"CountChocula",180,0,12,13,65,28.7
"GoldenGrahams",280,0,15,9,45,13.1
"HoneyNutCheerios",250,1.5,11.5,10,90,15.6
"Kix",260,0,21,3,40,11.3
"LuckyCharms",180,0,12,12,55,25.4
"MultiGrainCheerios",220,2,15,6,90,18.6
"OatmealRaisinCrisp",170,1.5,13.5,10,120,30.2
"RaisinNutBran",140,2.5,10.5,8,140,32.8
"TotalCornFlakes",200,0,21,3,35,20.4
"TotalRaisinBran",190,4,15,14,230,26.5
"TotalWholeGrain",200,3,16,3,110,21.7
"Trix",140,0,13,12,25,42.9
"Cheaties",200,3,17,3,110,30.6
"WheatiesHoneyGold",200,1,16,8,60,29.6
"AllBran",260,9,7,5,320,17.7
"AppleJacks",125,1,11,14,30,40.3
"CornFlakes",290,1,21,2,35,9.2
"CornPops",90,1,13,12,20,49.9
"CracklinOatBran",140,4,10,7,160,35.6
"Crispix",220,1,21,3,30,21.5
"FrootLoops",125,1,11,13,30,37.7
"FrostedFlakes",200,1,14,11,25,20.9
"FrostedMiniWheats",0,3,14,7,100,72
"FruitfulBran",240,5,14,12,190,15.7
"JustRightCrunchyNuggets",170,1,17,6,60,33.9
"MueslixCrispyBlend",150,3,17,13,160,37.3
"NutNHoneyCrunch",190,0,15,9,40,23.4
"NutriGrainAlmondRaisin",220,3,21,7,130,15
"NutriGrainWheat",170,3,18,2,90,30.8
"Product19",320,1,20,3,45,2.6
"RaisinBran",210,5,14,12,240,21.5
"RiceKrispies",290,0,22,3,35,6.6
"Smacks",70,1,9,15,40,49.6
"SpecialK",230,1,16,3,55,16.3
"CapNCrunch",220,0,12,12,35,22.7
"HoneyGrahamOhs",220,1,12,11,45,15.1
"Life",150,2,12,6,95,35.9
"PuffedRice",0,0,13,0,15,63.4
"PuffedWheat",0,1,10,0,50,68.6
"QuakerOatmeal",0,2.7,1,1,110,65.3
